"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"92",2.7623330631278e-66,4.31795738906213,1,0.376,5.44663850422142e-60,"10","TUBA8.1"
"93",1.29242739484564e-59,4.86886117435591,1,0.473,2.54834759306908e-53,"10","GSTA4"
"94",1.34020137896186e-58,4.95844033194949,1,0.512,2.64254608957219e-52,"10","GSTM2"
"95",1.79138605931542e-54,4.83786329515788,1,0.746,3.53217083661336e-48,"10","KHDRBS2"
"96",1.56088027089284e-53,4.55457677908753,1,0.787,3.07767035677378e-47,"10","CCDC86"
"97",4.07402108520646e-100,3.90273857151615,0.924,0.107,8.03296329681909e-94,"11","UCP2"
"98",1.61887054770373e-87,3.77286645353866,0.955,0.148,3.19201285904646e-81,"11","gene1437"
"99",2.02740149365573e-74,4.55530036944014,0.985,0.206,3.99753497732017e-68,"11","VGR"
"100",3.90019438697043e-60,4.57120237104449,1,0.293,7.69021998309211e-54,"11","POLR3GL"
"101",1.01292913368821e-59,4.88878570897687,1,0.306,1.99724605813712e-53,"11","OSK"
"102",4.7127605284538e-53,4.09428195469496,1,0.342,9.29239971026037e-47,"11","LOC6033718"
"103",4.15407845384187e-52,4.95261727211727,0.985,0.357,8.19081665359806e-46,"11","H1-0"
"104",5.30094444715036e-49,4.40892865987177,1,0.421,1.04521531165021e-42,"11","LOC6038517"
"105",2.09171687371681e-44,5.01630345036946,1,0.574,4.12434902090174e-38,"11","LOC119767247"
"106",6.94305281463135e-21,3.89071108372545,0.924,0.779,1.36899852164078e-14,"11","FK506"
"107",0,3.18456736981525,0.981,0.014,0,"12","gene6803"
"108",0,2.23227551118287,0.815,0.009,0,"12","gene10236"
"109",6.06558545799979e-284,2.6510644252174,0.907,0.017,1.19598363235675e-277,"12","gene2439"
"110",2.27884007327869e-273,2.56019648453586,0.778,0.011,4.49330975100747e-267,"12","gene10574"
"111",8.42006212196891e-256,1.77546787483657,0.833,0.016,1.66022827491786e-249,"12","gene3314"
"112",3.25940321358849e-235,2.78589881131558,0.852,0.02,6.42673806460274e-229,"12","gene1916"
"113",2.60765786642439e-160,2.0403518003674,0.889,0.042,5.14165722109589e-154,"12","gene7137"
"114",1.34690646822943e-141,3.27254527681378,0.907,0.054,2.65576686945078e-135,"12","gene10689"
"115",7.9382873140024e-129,2.07528349877924,0.852,0.05,1.56523418262462e-122,"12","gene14629"
"116",3.58618603968973e-100,2.38736765905364,0.667,0.038,7.07107308231635e-94,"12","CecA1"
"117",1.48102083922871e-261,2.29572247899974,0.688,0.002,2.92020728281174e-255,"13","gene2629"
"118",8.28137722461841e-241,2.49813010434115,0.75,0.004,1.6328830386773e-234,"13","gene1605"
"119",5.7219553728413e-166,2.32377822463394,0.75,0.007,1.12822826722659e-159,"13","PebIII.1"
"120",1.06314020668869e-153,2.18230210959401,0.625,0.005,2.09624989195905e-147,"13","gene6728"
"121",4.88190497549071e-53,3.22012115474982,0.625,0.023,9.62591078113873e-47,"13","gene5361"
"122",1.71164103549291e-37,2.98169825645606,0.25,0.004,3.37493334665626e-31,"13","gene8980"
"123",4.53656704314856e-32,1.99419881224393,0.812,0.066,8.94498967702931e-26,"13","gene10689"
"124",5.85751245680457e-21,2.1788018076681,0.688,0.077,1.15495677592418e-14,"13","gene1699"
"125",8.06697435799235e-07,3.43052951387199,0.312,0.049,1,"13","CecA1"
"126",1.26491939202067e-05,4.18508076916618,0.312,0.061,1,"13","gene5564"
