"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"gene6352",2.85890330638179e-120,2.47311240565386,0.951,0.119,5.63705117106821e-114,"10","gene6352"
"gene696",2.93895579758301e-120,2.04233820365831,0.889,0.096,5.7948949107517e-114,"10","gene696"
"WDR911",2.95457401703356e-120,2.62811106187959,0.963,0.12,5.82569018180798e-114,"10","WDR91"
"gene5222",3.75405225575979e-120,1.92517731568593,0.815,0.075,7.40206379745112e-114,"10","gene5222"
"gene94501",4.36895748351111e-120,1.31623201082747,0.827,0.075,8.61450502498548e-114,"10","gene9450"
"FDX1",4.39014460662682e-120,1.60206927652178,0.815,0.073,8.65628079855026e-114,"10","FDX1"
"ERH1",6.28874109448911e-120,2.71079457174993,0.975,0.129,1.23998441192822e-113,"10","ERH"
"gene5888",6.34687724551221e-120,1.74979391555204,0.889,0.096,1.25144742494704e-113,"10","gene5888"
"gene62291",8.2300303904455e-120,2.98380719823867,0.951,0.113,1.62275871124521e-113,"10","gene6229"
"LAMDM(0)1",1.03179658392784e-119,3.3085512986189,0.988,0.137,2.03444800974948e-113,"10","LAMDM(0)"
"gene18761",1.12277870118585e-119,2.03381490401593,0.901,0.1,2.2138422723993e-113,"10","gene1876"
"KIAA12791",1.21176132071277e-119,1.89681522469478,0.914,0.103,2.38929401939937e-113,"10","KIAA1279"
"gene43871",1.39118368247859e-119,1.47820920635432,0.84,0.08,2.7430705994782e-113,"10","gene4387"
"BCS1L",1.50101363509885e-119,2.44235278378315,0.951,0.122,2.95962813804707e-113,"10","BCS1L"
"SHCBP1",2.20098962053491e-119,1.59321809231717,0.802,0.072,4.33980788725857e-113,"10","SHCBP1"
"APOD.22",3.32853872941926e-119,1.99681398875776,0.827,0.08,6.56305622534861e-113,"10","APOD.2"
"C8orf821",3.53023694206889e-119,2.18614514290414,0.926,0.109,6.96075528123515e-113,"10","C8orf82"
"gene20851",5.07865515287984e-119,1.79833139674135,0.864,0.089,1.00138535336563e-112,"10","gene2085"
"Y-f",5.31492944575251e-119,3.36388545295017,1,0.145,1.04797280794508e-112,"10","Y-f"
"CHAC21",5.68524762351913e-119,1.94461631257737,0.926,0.107,1.12099040574167e-112,"10","CHAC2"
"POLR3C1",6.03444148274712e-119,2.37806020049406,0.988,0.137,1.18984280969311e-112,"10","POLR3C"
"gene98101",1.01986233037077e-118,1.7053949337803,0.877,0.091,2.01091660949555e-112,"10","gene9810"
"MPV172",1.47445074756052e-118,2.10042920487678,0.938,0.112,2.90725268485469e-112,"10","MPV17"
"gene700",1.86143183654056e-118,1.79627736661508,0.889,0.096,3.67028380799436e-112,"10","gene700"
"gene105401",2.27674123577118e-118,2.67900018033274,0.975,0.13,4.48917136185553e-112,"10","gene10540"
"SNAPC31",2.68347782541011e-118,2.02327798380646,0.963,0.122,5.29115545268585e-112,"10","SNAPC3"
"gene121792",2.69059025679885e-118,2.16716245835825,0.938,0.114,5.3051794106139e-112,"10","gene12179"
"gene3850",2.88096917652656e-118,1.92320901202969,0.926,0.108,5.68055961672377e-112,"10","gene3850"
"COG5",2.91193751166043e-118,1.84610817411024,0.926,0.111,5.74162152442898e-112,"10","COG5"
"gene125511",3.41480372954113e-118,1.71539995521168,0.889,0.095,6.73314949813392e-112,"10","gene12551"
"gene11287",4.06401148663748e-118,1.70934211829697,0.864,0.089,8.01322684081192e-112,"10","gene11287"
"BRF11",5.35754710635154e-118,1.50378410438941,0.852,0.085,1.056375957959e-111,"10","BRF1"
"gene17291",8.12443394450434e-118,1.82611427885081,0.877,0.091,1.60193770033783e-111,"10","gene1729"
"gene56171",1.05761142190903e-117,2.70313382731036,0.951,0.124,2.08534849398339e-111,"10","gene5617"
"gene7108",1.07828366588399e-117,1.63149869760274,0.802,0.075,2.12610905305775e-111,"10","gene7108"
"gene21201",1.54756645167709e-117,1.94077507571575,0.914,0.108,3.05141879379366e-111,"10","gene2120"
"SPRTN",1.6562581986169e-117,1.56518464905355,0.84,0.084,3.26573207189747e-111,"10","SPRTN"
